Dist:	Veloc:	Time:
0.00	2.95	1076.00
0.01	-2.95	1078.00
0.01	-2.95	1080.00
0.01	-2.95	1081.00
0.01	-2.95	1083.00
0.01	-2.95	1085.00
0.01	-2.95	1086.00
0.01	-2.95	1088.00
0.01	2.95	1089.00
0.01	2.95	1091.00
0.01	2.95	1093.00
0.01	2.95	1094.00
0.01	2.95	1096.00
0.01	-2.95	1097.00
0.01	-2.95	1099.00
0.01	-2.95	1101.00
0.01	-2.95	1102.00
0.01	2.95	1104.00
0.01	2.95	1106.00
0.01	2.95	1107.00
0.01	1.47	1110.00
0.01	-1.47	1111.00
0.01	-1.47	1113.00
0.02	-2.95	1115.00
0.02	-2.95	1116.00
0.02	-2.95	1118.00
0.02	-2.95	1120.00
0.02	2.95	1121.00
0.02	2.95	1123.00
0.02	2.95	1124.00
0.02	2.95	1126.00
0.02	2.95	1128.00
0.02	2.95	1129.00
0.02	2.95	1131.00
0.03	-2.95	1132.00
0.03	-2.95	1134.00
0.03	-2.95	1136.00
0.03	-2.95	1137.00
0.03	-2.95	1139.00
0.03	-2.95	1141.00
0.03	-2.95	1142.00
0.04	-2.95	1144.00
0.04	-2.95	1146.00
0.04	-2.95	1147.00
0.04	-2.95	1149.00
0.04	-2.95	1152.00
0.04	-2.95	1153.00
0.04	-2.95	1155.00
0.04	-2.95	1157.00
0.04	-2.95	1158.00
0.04	2.95	1160.00
0.04	2.95	1161.00
0.04	2.95	1163.00
0.04	2.95	1165.00
0.05	2.95	1166.00
0.05	2.95	1168.00
0.05	2.95	1169.00
0.05	2.95	1171.00
0.05	2.95	1172.00
0.05	2.95	1174.00
0.06	-2.95	1176.00
0.05	2.95	1177.00
0.06	-2.95	1179.00
0.06	-2.95	1181.00
0.06	-2.95	1182.00
0.06	-2.95	1184.00
0.06	2.95	1186.00
0.06	2.95	1187.00
0.06	2.95	1189.00
0.06	2.95	1190.00
0.07	-2.95	1192.00
0.07	-2.95	1193.00
0.07	-2.95	1196.00
0.07	2.95	1198.00
0.07	-2.95	1199.00
0.07	-2.95	1201.00
0.08	-2.95	1203.00
0.08	-2.95	1204.00
0.08	-2.95	1206.00
0.08	-2.95	1208.00
0.08	-2.95	1209.00
0.08	-2.95	1211.00
0.08	-2.95	1213.00
0.09	-2.95	1214.00
0.09	2.95	1216.00
0.09	-2.95	1218.00
0.09	-2.95	1219.00
0.09	2.95	1221.00
0.09	2.95	1222.00
0.09	-2.95	1224.00
0.10	-2.95	1226.00
0.09	2.95	1227.00
0.10	2.95	1229.00
0.10	-2.95	1231.00
0.10	-2.95	1232.00
0.10	2.95	1234.00
0.10	2.95	1235.00
0.11	-2.95	1238.00
0.11	-2.95	1240.00
0.11	-2.95	1241.00
0.11	-2.95	1243.00
0.11	-2.95	1245.00
0.11	-2.95	1246.00
0.11	-2.95	1248.00
0.11	2.95	1250.00
0.12	2.95	1251.00
0.12	-2.95	1253.00
0.12	-2.95	1254.00
0.12	-2.95	1256.00
0.13	-2.95	1258.00
0.12	2.95	1259.00
0.13	2.95	1261.00
0.13	2.95	1263.00
0.13	-2.95	1264.00
0.13	-2.95	1266.00
0.14	-2.95	1267.00
0.14	-2.95	1269.00
0.14	-2.95	1271.00
0.14	-2.95	1272.00
0.14	-2.95	1274.00
0.14	-2.95	1276.00
0.15	-2.95	1277.00
0.15	-2.95	1280.00
0.15	-2.95	1282.00
0.15	-2.95	1283.00
0.15	-2.95	1285.00
0.16	-2.95	1287.00
0.16	-2.95	1288.00
0.16	-2.95	1290.00
0.16	-2.95	1292.00
0.16	-2.95	1293.00
0.16	-2.95	1295.00
0.16	-2.95	1297.00
0.17	-2.95	1298.00
0.17	-2.95	1300.00
0.17	-2.95	1302.00
0.17	2.95	1303.00
0.17	2.95	1305.00
0.18	2.95	1306.00
0.18	2.95	1308.00
0.18	-2.95	1310.00
0.18	-2.95	1311.00
0.18	-2.95	1313.00
0.19	-2.95	1315.00
0.19	-2.95	1316.00
0.19	-2.95	1318.00
0.19	-2.95	1320.00
0.19	-2.95	1321.00
0.19	2.95	1324.00
0.19	2.95	1326.00
0.20	-2.95	1327.00
0.20	-2.95	1329.00
0.20	-2.95	1330.00
0.20	-2.95	1332.00
0.20	-2.95	1334.00
0.21	-2.95	1335.00
0.21	2.95	1337.00
0.21	2.95	1339.00
0.21	2.95	1340.00
0.21	2.95	1342.00
0.22	2.95	1343.00
0.22	-2.95	1345.00
0.22	-2.95	1347.00
0.22	-2.95	1348.00
0.22	2.95	1350.00
0.22	2.95	1351.00
0.23	2.95	1353.00
0.23	2.95	1355.00
0.23	2.95	1356.00
0.23	2.95	1358.00
0.24	2.95	1359.00
0.24	2.95	1361.00
0.24	2.95	1363.00
0.24	-2.95	1364.00
0.24	2.95	1367.00
0.24	-2.95	1368.00
0.25	-2.95	1370.00
0.25	-2.95	1372.00
0.25	-2.95	1373.00
0.25	-2.95	1375.00
0.25	-2.95	1377.00
0.26	-2.95	1378.00
0.26	-2.95	1380.00
0.26	2.95	1382.00
0.26	2.95	1383.00
0.27	2.95	1385.00
0.27	2.95	1386.00
0.27	-2.95	1388.00
0.27	2.95	1390.00
0.27	2.95	1391.00
0.27	-2.95	1393.00
0.27	-2.95	1394.00
0.28	-2.95	1396.00
0.28	-2.95	1398.00
0.28	-2.95	1399.00
0.28	2.95	1401.00
0.28	2.95	1403.00
0.29	2.95	1404.00
0.29	2.95	1406.00
0.29	2.95	1408.00
0.29	2.95	1410.00
0.29	2.95	1411.00
0.29	2.95	1413.00
0.30	2.95	1415.00
0.30	2.95	1416.00
0.30	2.95	1418.00
0.30	-2.95	1419.00
0.30	2.95	1421.00
0.31	-2.95	1423.00
0.31	-2.95	1424.00
0.31	-2.95	1426.00
0.31	2.95	1428.00
0.31	2.95	1429.00
0.32	2.95	1431.00
0.32	2.95	1432.00
0.32	2.95	1434.00
0.32	2.95	1435.00
0.32	2.95	1437.00
0.32	2.95	1439.00
0.33	2.95	1440.00
0.33	2.95	1442.00
0.33	-2.95	1443.00
0.33	-2.95	1445.00
0.33	-2.95	1447.00
0.33	2.95	1448.00
0.34	2.95	1451.00
0.34	2.95	1453.00
0.34	2.95	1454.00
0.34	-2.95	1456.00
0.34	-2.95	1457.00
0.34	-2.95	1459.00
0.35	-2.95	1461.00
0.35	-2.95	1462.00
0.35	-2.95	1464.00
0.35	-2.95	1466.00
0.35	2.95	1467.00
0.36	2.95	1469.00
0.36	2.95	1470.00
0.36	2.95	1472.00
0.36	-2.95	1474.00
0.36	-2.95	1475.00
0.37	-2.95	1477.00
0.37	-2.95	1479.00
0.37	-2.95	1480.00
0.37	-2.95	1482.00
0.37	-2.95	1484.00
0.37	-2.95	1485.00
0.38	-2.95	1487.00
0.38	-2.95	1489.00
0.38	2.95	1490.00
0.38	2.95	1492.00
0.38	2.95	1494.00
0.38	2.95	1496.00
0.39	2.95	1498.00
0.39	2.95	1499.00
0.39	2.95	1501.00
0.39	-2.95	1502.00
0.39	2.95	1504.00
0.39	2.95	1505.00
0.39	2.95	1507.00
0.40	-2.95	1509.00
0.40	2.95	1510.00
0.40	2.95	1512.00
0.40	-2.95	1513.00
0.40	-2.95	1515.00
0.41	-2.95	1517.00
0.41	-2.95	1518.00
0.41	-2.95	1520.00
0.41	-2.95	1522.00
0.42	-2.95	1523.00
0.42	-2.95	1525.00
0.42	2.95	1527.00
0.42	2.95	1528.00
0.42	2.95	1530.00
0.42	2.95	1531.00
0.42	2.95	1533.00
0.43	2.95	1536.00
0.43	2.95	1537.00
